id,user_id,brand,model,release_year,vin,plate
1,959,Cadillac,ATS,2010,4L52K6N7N7SHTZCP9,Х539КВ03
2,19,Mercedes-Benz,GLE,2007,N0PNZE3J8VMS0E0FH,Т207РА680
3,163,Ford,Explorer,2000,AT1Z4NW0WQOX7CCSC,Е110НА21
4,408,Lincoln,Corsair,1995,9VCXEDI6YTFYM4YNE,Х242РО650
5,484,Rolls-Royce,Cullinan,1995,F7Q1Q3W5VQIH98MI5,В767ЕМ558
6,57,Audi,A4,1980,1545FLPN1P07SHUEN,Х294МА309
7,95,Rolls-Royce,Phantom,1990,YPCHT4SZKVAYIPDS5,В120МТ74
8,590,Volkswagen,Golf,2009,8C0JUG1YNCFADL4YT,Р181ЕС667
9,604,Rolls-Royce,Wraith,2005,ANIHNWIQXS3UNAMWO,В707ВЕ106
10,512,Ford,F-150,1992,J64Z3LR44GFGCVS8U,Р506КА138
11,528,BMW,M4,2016,CUG3IQY3W2WN3WB84,Н315ТТ581
12,86,BMW,M8,2024,92GPCNK63SBQ1QWXY,Е684ОХ37
13,831,Audi,RS6,1993,6TXXYVXSFXSAOMM5L,Е258НР439
14,428,Rolls-Royce,Ghost,2005,I08I3YZS4LGTCKJGY,Х430ХЕ364
15,59,Hyundai,Elantra,2021,KN4VZJ8HZVPFRKY8H,О893РЕ109
16,974,BMW,X5,2013,SV4EKU2WQD68HNOWE,С792ВА698
17,28,Cadillac,XT5,2010,4MMCJGRUQARCOGDIY,Е667ОО146
18,548,Lada,Priora,1984,S7O8SOH3ZVHFGJOGL,Р431АН15
19,542,Hyundai,Solaris,1986,PKSTYZXA9PFXMAMUJ,О780СТ200
20,6,Lada,2110,1988,MBTC2U6TL7WC4OAN3,Р955ВА747
21,674,Dodge,Durango,1992,W40AVO6D7Y4YQ4S44,К908УК514
22,253,Skoda,Karoq,2004,JDMTEY5SHQK8MZ00G,Н176СО08
23,965,Ford,F-150,2019,0F6J25WOXJNDN0QDP,В551ЕА774
24,712,Hyundai,Santa Fe,2017,URKY4DZNV8J98QCZV,Е263ТТ152
25,697,Skoda,Superb,2005,QQ46R82E5A1YCSKNZ,А194РВ681
26,930,Porsche,Cayenne,1986,8F5YHKDAC5F8K0743,М903КВ16
27,715,Porsche,Macan,1994,QYV6ZFDYFT0DBXDU0,В525РХ263
28,446,Lincoln,Continental,1982,WPLU1PPQ9AB5S0QCZ,Н981АМ293
29,813,Audi,RS4,1993,CMJEJ8E90AW51P5L9,Р931ТА569
30,996,Hyundai,Solaris,2008,3AOCULU3JFN8UYK75,Р759КА772
31,277,Kia,Sorento,2008,XNOMKO6U1MK35CY8I,Х483КС665
32,982,Skoda,Kodiaq,1989,0RKG00H3OHD1L4JB6,Р496МК490
